Brand,Model,Year,Horsepower,Engine_Size,Weight,Torque,Acceleration_0_100,Power_Weight,Torque_Weight,Drivetrain,Transmission
Rolls-Royce,Phantom,2012,570,4.1,5838,626,5.03,0.09763617677286741,0.10722850291195615,RWD,Auto
BMW,M5 CS,2021,625,4.1,4070,610,2.92,0.15356265356265356,0.14987714987714987,RWD,Auto
BMW,M8 Competition,2024,615,7.4,4367,656,3.01,0.14082894435539273,0.15021754064575224,RWD,Auto
BMW,M5 CS,2022,627,7.7,4135,658,3.05,0.15163240628778718,0.15912938331318016,RWD,Auto
Bentley,Bentayga Speed,2023,648,4.4,5702,706,3.89,0.11364433532094002,0.12381620484040687,AWD,Auto
McLaren,765LT,2024,754,5.9,3009,779,2.78,0.25058158856763046,0.25888999667663676,RWD,DCT
Bentley,Flying Spur,2024,543,7.1,4892,637,3.78,0.11099754701553557,0.13021259198691743,RWD,Auto
Mercedes-AMG,GT Black Series,2022,723,3.6,3505,721,2.81,0.20627674750356634,0.2057061340941512,RWD,DCT
Porsche,911 GT2 RS,2018,698,4.6,3382,807,2.76,0.2063867534003548,0.23861620342992312,RWD,DCT
Aston Martin,DB11 AMR,2020,612,4.8,3902,733,3.54,0.15684264479753973,0.18785238339313173,RWD,Auto
Mercedes-AMG,GT Black Series,2023,729,5.0,3582,850,2.93,0.20351758793969849,0.23729759910664433,AWD,DCT
Mercedes-AMG,SL63 AMG,2024,600,6.1,4124,683,3.64,0.1454898157129001,0.16561590688651795,RWD,Auto
Mercedes-AMG,GT Black Series,2022,722,2.1,3547,685,2.87,0.20355229771638003,0.19312094727939103,AWD,DCT
Rolls-Royce,Phantom,2010,569,7.6,5663,559,5.01,0.10047677909235388,0.09871093060215433,RWD,Auto
Porsche,911 GT2 RS,2019,692,3.9,3339,819,2.76,0.20724767894579216,0.24528301886792453,RWD,DCT
BMW,M5 CS,2022,631,5.4,4129,579,3.01,0.1528215064180189,0.14022765802857834,AWD,Auto
Rolls-Royce,Wraith,2021,637,3.3,5211,651,4.25,0.12224141239685281,0.12492803684513529,RWD,Auto
Lamborghini,Huracan EVO,2023,635,5.8,3307,608,2.92,0.192016933776837,0.18385243423042033,RWD,DCT
Rolls-Royce,Wraith,2023,616,4.0,5379,645,4.33,0.11451942740286299,0.11991076408254323,RWD,Auto
Lamborghini,Revuelto,2023,1009,2.9,4320,1151,2.33,0.2335648148148148,0.26643518518518516,RWD,DCT
Aston Martin,DB11 AMR,2021,601,7.0,4049,563,3.53,0.14843171153371204,0.13904667819214622,RWD,Auto
Ferrari,812 Superfast,2018,792,7.3,3820,865,2.85,0.20732984293193718,0.22643979057591623,AWD,DCT
Lamborghini,Huracan EVO,2021,628,7.0,3137,610,3.1,0.20019126554032515,0.19445329933057062,AWD,DCT
Lamborghini,Aventador SVJ,2019,754,6.0,4142,845,2.77,0.18203766296475132,0.20400772573635925,RWD,Auto
McLaren,720S,2018,708,3.0,3105,744,2.72,0.22801932367149758,0.2396135265700483,RWD,DCT
Ferrari,F8 Tributo,2020,718,4.5,3194,746,2.86,0.2247964934251722,0.23356293049467752,RWD,DCT
Bentley,Continental GT Speed,2021,650,5.3,5058,719,3.66,0.12850929221035984,0.14215104784499802,AWD,DCT
BMW,XM Label Red,2024,735,6.7,5991,704,3.8,0.12268402603905859,0.11750959772992822,AWD,Auto
BMW,XM Label Red,2024,745,2.8,5939,691,3.89,0.12544199360161642,0.11634955379693551,RWD,Auto
Porsche,911 GT3 RS,2017,516,4.3,3343,465,3.0,0.15435237810349986,0.13909661980257254,RWD,DCT
BMW,M8 Competition,2020,612,5.9,4404,670,3.05,0.13896457765667575,0.15213442325158946,RWD,Auto
Mercedes-AMG,SL63 AMG,2022,585,4.5,4261,558,3.62,0.13729171555972777,0.13095517484158647,RWD,Auto
BMW,M5 CS,2022,633,6.0,4019,661,3.06,0.15750186613585468,0.16446877332669818,AWD,Auto
Aston Martin,DB11 AMR,2019,630,7.3,3956,749,3.51,0.15925176946410516,0.18933265925176945,RWD,Auto
Rolls-Royce,Ghost,2019,595,7.2,5445,558,4.72,0.10927456382001836,0.1024793388429752,RWD,Auto
Aston Martin,DBS Superleggera,2022,705,5.6,4005,800,3.4,0.1760299625468165,0.19975031210986266,RWD,Auto
Lamborghini,Aventador SVJ,2020,762,4.0,3922,704,2.88,0.1942886282508924,0.17950025497195307,RWD,Auto
Rolls-Royce,Phantom,2023,545,2.8,5686,581,5.14,0.09584945480126626,0.10218079493492789,RWD,Auto
Mercedes-AMG,SL63 AMG,2023,578,6.4,4360,538,3.58,0.13256880733944953,0.12339449541284404,AWD,Auto
Porsche,911 Turbo S,2024,614,2.6,3566,654,2.36,0.17218171620863712,0.18339876612450925,AWD,DCT
Lamborghini,Revuelto,2023,1008,4.3,4328,932,2.26,0.23290203327171904,0.21534195933456562,AWD,DCT
Mercedes-AMG,GT63 S,2019,619,4.7,4595,589,3.3,0.13471164309031555,0.12818280739934712,RWD,Auto
BMW,XM Label Red,2024,737,3.9,6092,734,3.74,0.12097833223900196,0.12048588312541038,RWD,Auto
Lamborghini,Aventador SVJ,2022,765,5.5,3960,833,2.73,0.19318181818181818,0.21035353535353535,AWD,Auto
Lamborghini,Huracan EVO,2022,628,6.7,3345,752,2.93,0.18774289985052317,0.22481315396113602,AWD,DCT
Mercedes-AMG,SL63 AMG,2023,596,3.2,4210,646,3.67,0.14156769596199525,0.1534441805225653,RWD,Auto
BMW,M8 Competition,2022,610,2.3,4376,648,3.02,0.13939670932358317,0.1480804387568556,RWD,Auto
Rolls-Royce,Wraith,2023,619,3.6,5354,730,4.36,0.11561449383638402,0.13634665670526708,RWD,Auto
Lamborghini,Aventador SVJ,2018,759,5.5,4019,887,2.86,0.1888529484946504,0.22070166708136352,AWD,Auto
Bentley,Bentayga Speed,2022,636,6.6,5660,762,3.91,0.11236749116607773,0.13462897526501766,RWD,Auto
Ferrari,F8 Tributo,2020,713,6.6,3152,709,2.81,0.22620558375634517,0.22493654822335024,AWD,DCT
Mercedes-AMG,SL63 AMG,2015,587,7.6,4106,608,3.58,0.14296151972722845,0.1480759863614223,RWD,Auto
Rolls-Royce,Wraith,2022,635,5.0,5352,583,4.3,0.11864723467862481,0.10893124065769806,RWD,Auto
Porsche,911 GT2 RS,2019,693,7.9,3342,805,2.69,0.2073608617594255,0.24087372830640336,RWD,DCT
Bugatti,Divo,2020,1507,5.9,4463,1724,2.39,0.3376652475913063,0.38628725072820974,AWD,DCT
Mercedes-AMG,SL63 AMG,2021,583,3.0,4329,676,3.56,0.1346731346731347,0.15615615615615616,AWD,Auto
Lamborghini,Huracan EVO,2022,620,5.6,3345,568,3.07,0.18535127055306427,0.16980568011958147,AWD,DCT
Ferrari,F8 Tributo,2023,718,5.4,3135,762,2.81,0.22902711323763955,0.2430622009569378,AWD,DCT
McLaren,720S,2019,714,5.1,3186,722,2.82,0.224105461393597,0.22661644695543,RWD,DCT
Rolls-Royce,Ghost,2013,579,7.5,5457,575,4.72,0.10610225398570643,0.10536925050393989,RWD,Auto
BMW,M5 CS,2021,631,4.0,4000,629,3.1,0.15775,0.15725,RWD,Auto
Bentley,Flying Spur,2022,557,7.4,4894,667,3.7,0.11381283203923172,0.13628933387821823,RWD,Auto
Aston Martin,Valkyrie,2024,1138,3.4,2836,1322,2.3,0.4012693935119887,0.46614950634696756,RWD,Auto
Bugatti,Mistral,2024,1597,3.1,4416,1493,2.13,0.36163949275362317,0.338088768115942,RWD,DCT
Aston Martin,DBS Superleggera,2020,700,5.5,3894,802,3.37,0.17976373908577298,0.20595788392398562,RWD,Auto
Bentley,Flying Spur,2021,583,5.6,5182,635,3.94,0.1125048243921266,0.12253956001543806,RWD,Auto
Rolls-Royce,Phantom,2016,556,6.9,5864,503,5.33,0.09481582537517053,0.08577762619372442,AWD,Auto
Bugatti,Mistral,2024,1584,3.0,4421,1463,2.19,0.3582899796426148,0.3309206061976928,RWD,DCT
Ferrari,SF90 Stradale,2023,996,4.3,3893,1049,2.24,0.25584382224505525,0.26945800154122784,AWD,DCT
Lamborghini,Revuelto,2024,1018,5.1,4384,924,2.27,0.23220802919708028,0.21076642335766424,AWD,DCT
Mercedes-AMG,SL63 AMG,2024,597,7.4,4114,676,3.66,0.14511424404472534,0.16431696645600388,RWD,Auto
Porsche,911 GT3 RS,2023,523,2.8,3312,482,3.05,0.15791062801932368,0.14553140096618358,RWD,DCT
Mercedes-AMG,GT Black Series,2023,730,2.9,3505,806,3.08,0.20827389443651925,0.22995720399429387,RWD,DCT
McLaren,Artura,2024,667,4.5,3478,666,3.08,0.19177688326624498,0.19148936170212766,AWD,DCT
Porsche,911 GT3 RS,2024,501,7.8,3266,596,3.16,0.15339865278628292,0.18248622167789344,RWD,DCT
Bugatti,Chiron,2019,1551,4.9,4481,1711,2.35,0.346128096407052,0.3818344119616157,AWD,DCT
McLaren,Artura,2022,650,7.2,3446,778,3.02,0.1886244921648288,0.2257690075449797,AWD,DCT
Bentley,Continental GT Speed,2015,648,6.8,5070,773,3.54,0.12781065088757396,0.152465483234714,RWD,DCT
Rolls-Royce,Phantom,2010,558,2.4,5627,636,5.35,0.09916474142527101,0.11302647947396481,AWD,Auto
McLaren,Artura,2024,679,5.4,3379,748,3.06,0.2009470257472625,0.22136726842261023,RWD,DCT
Ferrari,F8 Tributo,2021,707,7.4,3282,837,2.89,0.2154174283973187,0.25502742230347347,AWD,DCT
Porsche,911 GT3 RS,2022,518,5.5,3263,579,3.21,0.15874961691694758,0.17744406987434877,AWD,DCT
McLaren,Artura,2024,672,5.4,3448,699,3.06,0.19489559164733178,0.20272621809744779,RWD,DCT
Ferrari,812 Superfast,2019,786,4.0,3699,717,2.94,0.21248986212489862,0.19383617193836172,AWD,DCT
Mercedes-AMG,GT63 S,2023,625,2.8,4795,676,3.15,0.13034410844629823,0.14098018769551615,RWD,Auto
Bugatti,Chiron,2024,1535,7.4,4424,1528,2.34,0.3469710669077758,0.3453887884267631,RWD,DCT
Aston Martin,DBS Superleggera,2021,713,2.4,3967,669,3.31,0.17973279556339802,0.16864129064784472,RWD,Auto
Porsche,911 Turbo S,2017,624,2.1,3584,729,2.38,0.17410714285714285,0.20340401785714285,AWD,DCT
McLaren,720S,2018,718,7.5,3150,738,2.85,0.22793650793650794,0.2342857142857143,RWD,DCT
Ferrari,F8 Tributo,2021,715,5.3,3203,696,2.83,0.22322822354043084,0.21729628473306276,RWD,DCT
BMW,M8 Competition,2020,615,6.3,4338,686,3.15,0.1417704011065007,0.15813739050253572,RWD,Auto
Bentley,Continental GT Speed,2023,660,3.9,4914,670,3.67,0.1343101343101343,0.13634513634513634,RWD,DCT
Porsche,911 GT2 RS,2020,698,6.8,3301,776,2.73,0.21145107543168737,0.2350802787034232,AWD,DCT
Lamborghini,Aventador SVJ,2022,759,2.3,3988,748,2.88,0.19032096288866598,0.18756268806419257,RWD,Auto
Mercedes-AMG,SL63 AMG,2016,587,3.3,4198,687,3.5,0.13982848975702716,0.16364935683658885,RWD,Auto
Bugatti,Divo,2019,1521,3.3,4470,1511,2.34,0.3402684563758389,0.33803131991051455,AWD,DCT
Rolls-Royce,Ghost,2016,578,2.9,5505,585,4.75,0.10499545867393278,0.10626702997275204,RWD,Auto
Lamborghini,Revuelto,2023,1012,5.8,4429,1203,2.23,0.22849401670806052,0.2716188755926846,AWD,DCT
Ferrari,SF90 Stradale,2022,967,3.4,3674,1057,2.37,0.26320087098530215,0.28769733260751224,RWD,DCT
Ferrari,SF90 Stradale,2020,953,7.1,3614,1072,2.45,0.2636967349197565,0.29662423907028224,RWD,DCT
Aston Martin,DB11 AMR,2023,618,2.7,3948,567,3.6,0.15653495440729484,0.14361702127659576,RWD,Auto
Lamborghini,Revuelto,2024,1016,6.7,4490,1196,2.36,0.22628062360801782,0.266369710467706,RWD,DCT
Aston Martin,Valkyrie,2024,1105,6.0,2728,1103,2.32,0.40505865102639294,0.4043255131964809,RWD,Auto
Ferrari,SF90 Stradale,2021,977,7.7,3674,1131,2.07,0.2659227000544366,0.30783886771910723,RWD,DCT
Bentley,Bentayga Speed,2022,637,7.2,5778,754,3.79,0.11024575977847006,0.1304949809622707,RWD,Auto
Porsche,911 Turbo S,2024,587,5.8,3605,642,2.55,0.16282940360610262,0.1780859916782247,RWD,DCT
Rolls-Royce,Phantom,2010,566,6.9,5829,524,5.08,0.09710070337965346,0.08989535083204667,AWD,Auto
Porsche,911 GT3 RS,2019,504,7.9,3326,525,3.24,0.15153337342152737,0.15784726398075766,AWD,DCT
Ferrari,SF90 Stradale,2024,980,2.7,3694,1140,2.36,0.26529507309149974,0.3086085544125609,RWD,DCT
McLaren,Artura,2024,645,3.6,3326,711,3.06,0.19392663860493084,0.2137702946482261,RWD,DCT
Mercedes-AMG,SL63 AMG,2019,584,5.3,4288,549,3.5,0.13619402985074627,0.12803171641791045,AWD,Auto
Mercedes-AMG,GT Black Series,2022,721,5.0,3570,839,2.95,0.2019607843137255,0.2350140056022409,RWD,DCT
Bentley,Bentayga Speed,2021,646,4.5,5700,709,3.88,0.11333333333333333,0.1243859649122807,RWD,Auto
Bugatti,Divo,2021,1570,2.8,4415,1814,2.37,0.3556058890147225,0.41087202718006793,RWD,DCT
Rolls-Royce,Wraith,2017,630,8.0,5366,627,4.38,0.1174058889303019,0.11684681326872903,RWD,Auto
Lamborghini,Revuelto,2023,1004,2.0,4500,1029,2.17,0.22311111111111112,0.22866666666666666,AWD,DCT
Aston Martin,Valkyrie,2023,1154,3.4,2809,1341,2.52,0.41082235671057316,0.4773940904236383,AWD,Auto
Lamborghini,Huracan EVO,2020,636,3.4,3270,714,3.11,0.1944954128440367,0.21834862385321102,AWD,DCT
Aston Martin,Valkyrie,2023,1122,4.4,2813,1073,2.31,0.3988624244578742,0.38144329896907214,AWD,Auto
Porsche,911 Turbo S,2020,618,2.2,3628,699,2.57,0.1703417861080485,0.19266813671444322,RWD,DCT
Lamborghini,Revuelto,2023,1017,6.7,4405,1086,2.18,0.23087400681044268,0.24653802497162317,AWD,DCT
Porsche,911 GT3 RS,2020,525,7.7,3277,607,3.1,0.16020750686603602,0.18523039365273117,RWD,DCT
Aston Martin,DB11 AMR,2023,607,5.2,3964,719,3.53,0.15312815338042382,0.1813824419778002,RWD,Auto
Aston Martin,DB11 AMR,2018,622,7.3,3959,637,3.58,0.15711038140944683,0.16089921697398332,AWD,Auto
Ferrari,F8 Tributo,2021,701,3.8,3292,831,2.81,0.2129404617253949,0.2524301336573512,RWD,DCT
Rolls-Royce,Ghost,2024,595,4.0,5577,663,4.51,0.10668818361126053,0.11888111888111888,RWD,Auto
McLaren,720S,2017,719,7.7,3084,764,2.72,0.23313878080415046,0.24773022049286642,RWD,DCT
Bugatti,Mistral,2023,1599,7.0,4467,1540,2.12,0.3579583613163197,0.3447503917618088,RWD,DCT
Porsche,911 Turbo S,2020,602,3.7,3684,577,2.41,0.16340933767643864,0.1566232356134636,RWD,DCT
Lamborghini,Aventador SVJ,2020,751,7.0,3809,719,2.79,0.19716461013389341,0.18876345497505906,AWD,Auto
Mercedes-AMG,GT Black Series,2022,724,4.5,3557,670,2.91,0.20354231093618216,0.18836097835254428,RWD,DCT
BMW,M5 CS,2021,635,7.1,4025,711,3.04,0.1577639751552795,0.17664596273291924,RWD,Auto
Bugatti,Chiron,2017,1524,4.9,4496,1603,2.36,0.3389679715302491,0.3565391459074733,RWD,DCT
Ferrari,812 Superfast,2019,802,7.5,3806,756,2.99,0.21071991592222805,0.19863373620599054,AWD,DCT
McLaren,Artura,2024,680,7.6,3300,726,3.07,0.20606060606060606,0.22,AWD,DCT
BMW,M8 Competition,2023,620,7.8,4425,602,3.09,0.1401129943502825,0.136045197740113,AWD,Auto
Ferrari,F8 Tributo,2023,714,4.8,3161,819,2.82,0.22587788674470105,0.2590952230306865,AWD,DCT
McLaren,Artura,2023,646,2.2,3312,647,3.07,0.19504830917874397,0.19535024154589373,AWD,DCT
Porsche,911 GT2 RS,2019,698,3.2,3350,703,2.62,0.2083582089552239,0.2098507462686567,RWD,DCT
Bentley,Continental GT Speed,2015,653,3.5,5128,754,3.58,0.12734009360374415,0.14703588143525742,AWD,DCT
Lamborghini,Huracan EVO,2019,630,6.4,3149,749,2.96,0.20006351222610352,0.23785328675770084,RWD,DCT
Rolls-Royce,Ghost,2017,559,5.6,5573,625,4.52,0.10030504216759376,0.11214785573299839,RWD,Auto
Porsche,911 Turbo S,2024,583,5.5,3631,612,2.53,0.16056182869732855,0.1685486091985679,RWD,DCT
Bugatti,Mistral,2023,1597,7.8,4325,1640,2.17,0.3692485549132948,0.3791907514450867,RWD,DCT
Bugatti,Mistral,2024,1578,4.6,4341,1682,2.16,0.36351071181755357,0.387468325270675,RWD,DCT
Ferrari,812 Superfast,2017,805,5.6,3748,962,2.96,0.2147812166488794,0.25667022411953044,RWD,DCT
Lamborghini,Huracan EVO,2024,639,6.0,3228,584,3.02,0.1979553903345725,0.1809169764560099,RWD,DCT
Rolls-Royce,Wraith,2017,625,3.2,5270,703,4.36,0.11859582542694497,0.1333965844402277,RWD,Auto
BMW,M5 CS,2021,628,4.4,4062,585,3.01,0.15460364352535697,0.14401772525849335,AWD,Auto
Porsche,911 GT3 RS,2016,512,2.7,3277,499,3.13,0.15624046383887702,0.15227342081171805,RWD,DCT
Lamborghini,Aventador SVJ,2019,758,7.0,3886,737,2.83,0.1950591868244982,0.1896551724137931,RWD,Auto
Lamborghini,Revuelto,2024,1002,7.9,4482,1121,2.33,0.22356091030789826,0.250111557340473,RWD,DCT
McLaren,720S,2022,705,7.1,3191,672,2.72,0.22093387652773425,0.2105922908179254,AWD,DCT
Bugatti,Mistral,2024,1584,7.1,4347,1703,2.14,0.36438923395445133,0.3917644352426961,RWD,DCT
Rolls-Royce,Phantom,2014,550,6.2,5742,566,5.07,0.09578544061302682,0.09857192615813305,RWD,Auto
Ferrari,F8 Tributo,2021,716,5.4,3253,653,2.83,0.22010451890562557,0.2007377805102982,AWD,DCT
Bentley,Continental GT Speed,2017,652,3.2,4913,638,3.64,0.13270913901892936,0.1298595562792591,RWD,DCT
McLaren,720S,2018,716,4.9,3144,814,2.86,0.227735368956743,0.2589058524173028,RWD,DCT
BMW,M5 CS,2022,634,6.4,4084,687,3.09,0.15523996082272282,0.16821743388834476,AWD,Auto
Porsche,911 GT3 RS,2017,505,2.1,3335,504,3.15,0.15142428785607195,0.15112443778110946,RWD,DCT
McLaren,765LT,2022,761,3.5,3002,851,2.76,0.25349766822118586,0.28347768154563624,AWD,DCT
BMW,M5 CS,2022,630,7.6,4085,672,2.97,0.15422276621787026,0.16450428396572828,AWD,Auto
Rolls-Royce,Ghost,2010,575,4.0,5593,523,4.59,0.10280708027892008,0.09350974432326122,AWD,Auto
BMW,M8 Competition,2020,618,7.8,4337,646,3.02,0.1424948120820844,0.14895088771039888,RWD,Auto
Bugatti,Chiron,2022,1557,2.6,4432,1601,2.31,0.3513086642599278,0.36123646209386284,AWD,DCT
BMW,XM Label Red,2024,743,4.8,6079,752,3.89,0.12222405000822503,0.12370455667050502,AWD,Auto
Mercedes-AMG,SL63 AMG,2018,583,2.6,4331,689,3.55,0.1346109443546525,0.15908566151004386,RWD,Auto
Lamborghini,Revuelto,2023,1017,2.6,4445,1016,2.19,0.22879640044994376,0.22857142857142856,RWD,DCT
BMW,XM Label Red,2024,735,5.1,6038,853,3.77,0.12172904935409076,0.1412719443524346,RWD,Auto
Mercedes-AMG,SL63 AMG,2014,594,3.6,4328,586,3.54,0.13724584103512014,0.1353974121996303,RWD,Auto
Bentley,Flying Spur,2024,547,5.3,4817,642,3.88,0.11355615528337139,0.13327797384264065,RWD,Auto
Ferrari,SF90 Stradale,2022,961,5.6,3707,1142,2.19,0.25923927704343136,0.3080658214189371,RWD,DCT
Bugatti,Mistral,2024,1589,6.8,4315,1446,2.25,0.3682502896871379,0.3351100811123986,RWD,DCT
Bugatti,Mistral,2024,1597,7.1,4376,1567,2.16,0.364945155393053,0.35808957952468007,RWD,DCT
Rolls-Royce,Phantom,2024,554,3.3,5839,524,5.15,0.0948792601472855,0.0897413940743278,AWD,Auto
Bugatti,Mistral,2023,1598,4.1,4467,1536,2.29,0.35773449742556523,0.34385493619879115,AWD,DCT
Bentley,Bentayga Speed,2024,639,3.8,5752,576,3.81,0.11109179415855355,0.10013908205841446,RWD,Auto
Mercedes-AMG,GT Black Series,2022,723,7.9,3553,785,2.84,0.20349000844356882,0.2209400506614129,RWD,DCT
Rolls-Royce,Wraith,2023,623,4.0,5274,736,4.28,0.11812665908229047,0.13955252180508154,AWD,Auto
Bentley,Continental GT Speed,2017,639,2.4,5070,728,3.65,0.12603550295857988,0.14358974358974358,RWD,DCT
Ferrari,SF90 Stradale,2023,953,6.8,3891,1136,2.19,0.2449241840143922,0.2919557954253405,RWD,DCT
Bugatti,Divo,2021,1504,5.6,4462,1648,2.33,0.3370685791125056,0.369341102644554,RWD,DCT
McLaren,Artura,2023,655,4.2,3375,634,3.03,0.19407407407407407,0.18785185185185185,AWD,DCT
Porsche,911 GT2 RS,2020,697,4.5,3339,752,2.73,0.20874513327343516,0.22521713087750825,AWD,DCT
Mercedes-AMG,GT63 S,2020,616,4.2,4731,676,3.01,0.13020503064891142,0.1428873388290002,AWD,Auto
Ferrari,812 Superfast,2018,803,6.8,3826,895,2.92,0.20987976999477262,0.23392577104025092,AWD,DCT
Lamborghini,Aventador SVJ,2021,753,7.2,3994,835,2.72,0.1885327991987982,0.20906359539308964,RWD,Auto
Porsche,911 GT2 RS,2018,697,3.0,3344,810,2.64,0.208433014354067,0.24222488038277512,RWD,DCT
Rolls-Royce,Ghost,2014,564,3.8,5444,587,4.74,0.10360029390154299,0.10782512858192506,RWD,Auto
Lamborghini,Revuelto,2023,1011,4.3,4306,912,2.12,0.23478866697631212,0.21179749187180677,AWD,DCT
Rolls-Royce,Wraith,2023,618,4.1,5396,639,4.28,0.114529280948851,0.11842105263157894,AWD,Auto
Bugatti,Chiron,2016,1572,2.1,4477,1501,2.3,0.3511279874916239,0.33526915345097164,AWD,DCT
Mercedes-AMG,SL63 AMG,2015,584,5.4,4265,605,3.56,0.1369284876905041,0.141852286049238,RWD,Auto
Bentley,Continental GT Speed,2015,633,7.5,5021,617,3.6,0.1260705038836885,0.12288388767177853,AWD,DCT
Bugatti,Mistral,2024,1591,7.8,4415,1648,2.16,0.36036240090600224,0.37327293318233296,RWD,DCT
McLaren,Artura,2023,668,2.3,3318,682,3.1,0.20132610006027726,0.2055455093429777,RWD,DCT
Mercedes-AMG,GT63 S,2019,630,3.9,4736,663,3.08,0.13302364864864866,0.13999155405405406,RWD,Auto
Bugatti,Mistral,2024,1600,7.5,4497,1600,2.21,0.355792750722704,0.355792750722704,RWD,DCT
McLaren,Artura,2024,646,5.2,3417,612,3.1,0.1890547263681592,0.1791044776119403,RWD,DCT
McLaren,Artura,2023,675,3.7,3318,755,3.1,0.20343580470162748,0.22754671488848704,RWD,DCT
Porsche,911 GT2 RS,2018,693,6.2,3278,670,2.71,0.21140939597315436,0.20439292251372787,RWD,DCT
Mercedes-AMG,GT63 S,2022,617,2.1,4516,712,3.25,0.1366253321523472,0.15766164747564215,AWD,Auto
Mercedes-AMG,GT63 S,2022,623,4.1,4687,709,3.17,0.13292084489012163,0.15126946874333264,AWD,Auto
Porsche,911 Turbo S,2010,624,3.1,3678,605,2.36,0.16965742251223492,0.1644915715062534,RWD,DCT
Aston Martin,Valkyrie,2023,1131,7.2,2726,1257,2.5,0.4148936170212766,0.4611151870873074,RWD,Auto
Bentley,Flying Spur,2021,610,6.3,4837,597,3.87,0.12611122596650817,0.12342360967541864,RWD,Auto
Ferrari,812 Superfast,2018,784,7.8,3791,787,2.98,0.20680559219203376,0.20759694012134003,RWD,DCT
McLaren,Artura,2023,661,2.3,3458,649,3.07,0.19115095430884904,0.18768074031231927,RWD,DCT
Bentley,Continental GT Speed,2015,636,6.3,5084,581,3.69,0.12509834775767112,0.11428009441384736,RWD,DCT
Rolls-Royce,Wraith,2015,619,6.1,5307,739,4.27,0.1166384021104202,0.13925004710759376,AWD,Auto
Rolls-Royce,Phantom,2016,541,3.7,5797,566,5.39,0.09332413317233051,0.09763670864240125,RWD,Auto
Aston Martin,Valkyrie,2022,1149,2.4,2702,1080,2.59,0.425240562546262,0.3997039230199852,RWD,Auto
Porsche,911 GT2 RS,2018,697,3.4,3315,653,2.66,0.21025641025641026,0.19698340874811462,RWD,DCT
Bugatti,Divo,2019,1560,7.9,4476,1575,2.34,0.3485254691689008,0.35187667560321717,AWD,DCT
Ferrari,F8 Tributo,2020,707,5.0,3275,703,2.83,0.21587786259541986,0.21465648854961833,AWD,DCT
Lamborghini,Aventador SVJ,2022,755,5.8,4072,720,2.75,0.18541257367387035,0.17681728880157171,AWD,Auto
Lamborghini,Aventador SVJ,2021,760,3.8,3821,753,2.86,0.19890081130594087,0.19706883014917562,RWD,Auto
Bentley,Continental GT Speed,2018,636,5.4,4938,582,3.52,0.12879708383961117,0.11786148238153099,RWD,DCT
BMW,M5 CS,2021,632,4.8,4117,676,2.95,0.1535098372601409,0.16419723099344183,RWD,Auto
Rolls-Royce,Ghost,2017,559,3.4,5415,590,4.42,0.10323176361957526,0.10895660203139428,RWD,Auto
McLaren,765LT,2020,764,4.8,2969,761,2.65,0.25732569888851464,0.2563152576625126,RWD,DCT
Porsche,911 Turbo S,2020,585,3.8,3674,579,2.55,0.1592270005443658,0.15759390310288515,AWD,DCT
Lamborghini,Huracan EVO,2022,626,3.6,3192,657,3.13,0.19611528822055138,0.20582706766917294,AWD,DCT
Bugatti,Mistral,2024,1583,3.8,4417,1463,2.19,0.35838804618519354,0.3312202852614897,RWD,DCT
BMW,XM Label Red,2024,736,2.9,5986,698,3.63,0.12295355830270631,0.11660541262946876,AWD,Auto
Mercedes-AMG,GT63 S,2023,622,5.8,4591,721,3.25,0.13548246569374864,0.1570463951208887,RWD,Auto
BMW,M5 CS,2021,634,2.8,4127,655,3.08,0.15362248606736129,0.15871092803489217,RWD,Auto
McLaren,720S,2023,715,7.1,3094,766,2.89,0.23109243697478993,0.2475759534583064,RWD,DCT
Rolls-Royce,Wraith,2016,633,8.0,5263,684,4.4,0.12027360820824624,0.1299638989169675,RWD,Auto
Porsche,911 Turbo S,2016,610,6.9,3651,727,2.33,0.1670775130101342,0.19912352780060258,AWD,DCT
Porsche,911 GT2 RS,2020,692,5.5,3352,782,2.75,0.2064439140811456,0.23329355608591884,RWD,DCT
McLaren,765LT,2023,762,6.7,3018,882,2.69,0.2524850894632207,0.2922465208747515,AWD,DCT
McLaren,765LT,2024,750,6.0,3019,880,2.8,0.2484266313348791,0.2914872474329248,AWD,DCT
Bugatti,Chiron,2021,1577,5.9,4425,1568,2.31,0.35638418079096046,0.3543502824858757,RWD,DCT
Bugatti,Mistral,2024,1592,5.0,4394,1897,2.3,0.3623122439690487,0.43172507965407375,AWD,DCT
Aston Martin,Valkyrie,2023,1158,3.5,2801,1333,2.56,0.4134237772224206,0.4759014637629418,RWD,Auto
Aston Martin,DBS Superleggera,2021,705,4.6,4047,644,3.37,0.17420311341734618,0.15913021991598716,RWD,Auto
Mercedes-AMG,GT63 S,2024,625,3.1,4784,698,3.26,0.1306438127090301,0.14590301003344483,RWD,Auto
Rolls-Royce,Phantom,2018,547,5.4,5692,495,5.02,0.0960997891777934,0.08696416022487702,AWD,Auto
Porsche,911 Turbo S,2018,636,6.4,3640,624,2.31,0.17472527472527472,0.17142857142857143,AWD,DCT
Bentley,Bentayga Speed,2024,634,2.8,5641,609,3.81,0.11239141996099983,0.10795958163446197,RWD,Auto
Mercedes-AMG,GT Black Series,2021,730,4.1,3500,673,2.95,0.20857142857142857,0.19228571428571428,RWD,DCT
